---------------------------------------------------------------------------------------------------------------
  Module Name                             | Clock Name                             | Supported Frequencies(Hz) 
 * PMHAL_PRCM_MOD_OCP_WP_NOC              | PMHAL_PRCM_CLK_L3INSTR_L4_GICLK        | 133000000
 * PMHAL_PRCM_MOD_GPMC                    | PMHAL_PRCM_CLK_L3MAIN1_L3_GICLK        | 266000000
 * PMHAL_PRCM_MOD_GPMC                    | PMHAL_PRCM_CLK_L3MAIN1_L4_GICLK        | 133000000
 * PMHAL_PRCM_MOD_L3_MAIN_1               | PMHAL_PRCM_CLK_L3MAIN1_L3_GICLK        | 266000000
 * PMHAL_PRCM_MOD_L3_MAIN_1               | PMHAL_PRCM_CLK_L3MAIN1_L4_GICLK        | 133000000
 * PMHAL_PRCM_MOD_MMU_EDMA                | PMHAL_PRCM_CLK_L3MAIN1_L3_GICLK        | 266000000
 * PMHAL_PRCM_MOD_MMU_EDMA                | PMHAL_PRCM_CLK_L3MAIN1_L4_GICLK        | 133000000
 * PMHAL_PRCM_MOD_OCMC_RAM1               | PMHAL_PRCM_CLK_L3MAIN1_L3_GICLK        | 266000000
 * PMHAL_PRCM_MOD_OCMC_RAM1               | PMHAL_PRCM_CLK_L3MAIN1_L4_GICLK        | 133000000
 * PMHAL_PRCM_MOD_TESOC                   | PMHAL_PRCM_CLK_L3MAIN1_L3_GICLK        | 266000000
 * PMHAL_PRCM_MOD_TESOC                   | PMHAL_PRCM_CLK_L3MAIN1_L4_GICLK        | 133000000
 * PMHAL_PRCM_MOD_TESOC                   | PMHAL_PRCM_CLK_TESOC_EXT_CLK           | 48360000, 24180000, 12090000
 * PMHAL_PRCM_MOD_TPCC                    | PMHAL_PRCM_CLK_L3MAIN1_L3_GICLK        | 266000000
 * PMHAL_PRCM_MOD_TPCC                    | PMHAL_PRCM_CLK_L3MAIN1_L4_GICLK        | 133000000
 * PMHAL_PRCM_MOD_TPTC1                   | PMHAL_PRCM_CLK_L3MAIN1_L3_GICLK        | 266000000
 * PMHAL_PRCM_MOD_TPTC1                   | PMHAL_PRCM_CLK_L3MAIN1_L4_GICLK        | 133000000
 * PMHAL_PRCM_MOD_TPTC2                   | PMHAL_PRCM_CLK_L3MAIN1_L3_GICLK        | 266000000
 * PMHAL_PRCM_MOD_TPTC2                   | PMHAL_PRCM_CLK_L3MAIN1_L4_GICLK        | 133000000
 * PMHAL_PRCM_MOD_L4_CFG                  | PMHAL_PRCM_CLK_L4CFG_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_L4_CFG                  | PMHAL_PRCM_CLK_L4CFG_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_SPINLOCK                | PMHAL_PRCM_CLK_L4CFG_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_SPINLOCK                | PMHAL_PRCM_CLK_L4CFG_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_MAILBOX1                | PMHAL_PRCM_CLK_L4CFG_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MAILBOX1                | PMHAL_PRCM_CLK_L4CFG_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_MAILBOX2                | PMHAL_PRCM_CLK_L4CFG_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MAILBOX2                | PMHAL_PRCM_CLK_L4CFG_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_I2C1                    | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_I2C1                    | PMHAL_PRCM_CLK_PER_96M_GFCLK           | 96000000
 * PMHAL_PRCM_MOD_I2C1                    | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_I2C2                    | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_I2C2                    | PMHAL_PRCM_CLK_PER_96M_GFCLK           | 96000000
 * PMHAL_PRCM_MOD_I2C2                    | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_L4_PER1                 | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_L4_PER1                 | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_DCC6                    | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_DCC7                    | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_TIMER2                  | PMHAL_PRCM_CLK_TIMER2_GFCLK            | 20000000, 10000000, 32786, 22579200
 * PMHAL_PRCM_MOD_TIMER2                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_TIMER2                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_TIMER3                  | PMHAL_PRCM_CLK_TIMER3_GFCLK            | 20000000, 10000000, 32786, 22579200
 * PMHAL_PRCM_MOD_TIMER3                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_TIMER3                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_TIMER4                  | PMHAL_PRCM_CLK_TIMER4_GFCLK            | 20000000, 10000000, 32786, 22579200
 * PMHAL_PRCM_MOD_TIMER4                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_TIMER4                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_DCC5                    | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_ELM                     | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_ELM                     | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_ESM                     | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_ESM                     | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MCSPI1                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MCSPI1                  | PMHAL_PRCM_CLK_PER_48M_GFCLK           | 48000000
 * PMHAL_PRCM_MOD_MCSPI1                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_MCSPI2                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MCSPI2                  | PMHAL_PRCM_CLK_PER_48M_GFCLK           | 48000000
 * PMHAL_PRCM_MOD_MCSPI2                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_MCSPI3                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MCSPI3                  | PMHAL_PRCM_CLK_PER_48M_GFCLK           | 48000000
 * PMHAL_PRCM_MOD_MCSPI3                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_MCSPI4                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MCSPI4                  | PMHAL_PRCM_CLK_PER_48M_GFCLK           | 48000000
 * PMHAL_PRCM_MOD_MCSPI4                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_UART1                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_UART1                   | PMHAL_PRCM_CLK_UART1_GFCLK             | 192000000, 48000000
 * PMHAL_PRCM_MOD_UART1                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_UART2                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_UART2                   | PMHAL_PRCM_CLK_UART2_GFCLK             | 192000000, 48000000
 * PMHAL_PRCM_MOD_UART2                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
